deciphered_text,key,letter_percent,found_words
HREMSFYNHSLPETEUYMLCRUEOMSIIAATSLPHTMOBAASSFATNOYEYDIIYYMHNRKOSLENBFOITLHHOAA,0,0.2857,{NHS ENB PET LEN PETE FAT ASS}
HSYRIDEIIMAISAYFTYYSMNLHHPNSHRLTKPMOEOSTBLEAEUANYSBMSFLFOCAIRTTUNLEOHOYHMEO,012,0.4533,{RID RIDE IDE LEO MAI ISA SAY AIR ANY EOS EOS}
BHCHARRNAEURSMEKSSOOFFMSAYSLTNIENHINOSABYLAFEPTOYESIDTLTIEPLIUHHYYTHYMMOMLOA,1203,0.4605,{CHAR MOM RNA THY EUR TIE OFF SAY SAYS YES TOY}
HHBCNRARREAUKMSEOSSOSFFMLYASENTINHNIBSOAFLYAOPETIEYSTTDLLEIPHUIHHYYTOMYMALMO,1320,0.5263,{TOM EAU SEO EOS TIE SEN SENT ENT PET TIN FLY SOA SOA}
HTTUKRSNYOELOMSMPYLLSHECEFTYRNYMDUBNOIEFHBIOOSAYMILAYSTPSMILESHIHTFNAHEARAO,03124,0.5600,{EAR HEAR LES MILES MILE SMILE MIL SHE LAY MIL SAY BIO}
UHTTKYRSNOMELOSLMPYLCSHEERFTYNUYMDBENOIFOHBIOMSAYISLAYTIPSMLIESHHATFNHAEARO,10234,0.6933,{EAR YRS HAT MEL LOS LIES LIE IPS TIPS TIP SHE LAY SHEER SAY BIO BEN}
KMHEYMOORTESSBEEYILAMUDIEASYIANSFMIABSYLYTFFNCYSOAHRMLITSUHPTNLENHLOPORT,235140,0.6944,{PORT POR HEY NHL LEN BEE ITS LIT MUD DIE SOA EASY IAN MIA ABS ABS}
MEYHMKOTERSOBEYEISAUDMILAYISAESMIFANSLYYTBFCYNSFARMHLOTUHSPINENLHTOORPTL,314025,0.8472,{TOO PINE SPINE PIN SPIN EYE ISA LOT AUD MIL ARM FARM FAR LAY ISA FAN FANS FANS}
HBEAPPYRFOTHEMEOMNTTHMISOMENSTIYOURFLIEBYKYHAYAMONHADALSHOTISCLSASISRELALYFUN,0524361,0.9091,{FUN APP THE THEM THEME SAS HOT SHOT ISO ADA SOME HAD MEN MENS MON YOU HAY YOUR OUR LIE LIE}
EHAPPYBORTHEMFMENTTHOSMOMENIISYOURTIFEBYKLAYYAMOHANDALSHTHISCLOSSISREALLYFUNA,1403256,1.1688,{UNA FUN HAPPY APP REALLY ALL REAL THE THEM LOSS LOS MEN MENT ENT HIS THIS MOM MEN AND HAND YOU YOUR OUR LAY FEB FEB}
BEHAPPYFORTHEMOMENTTHISMOMENTISYOURLIFEBYKHAYYAMOHANDALSOTHISCLASSISREALLYFUN,2514360,1.9091,{FUN HAPPY APP REALLY ALL REAL FOR FORT FORTH THE THEM ASS CLASS LAS MOM MOMENT MEN MENT ENT HIS THIS THIS HIS ALSO MOM MOMENT AND HAND MEN MENT ENT YOU YOUR OUR HAY URL LIFE FEB FEB LIFE}
